italian,vulgar_latin
incatenare,incatenare
incischiare,incisulare
incudine,incudo
indirizzare,indirectiare
indugiare,indutiare
inerpicarsi,hirpicare
infrangere,infrangere
infuocare,infocare
ingannare,ingannare
insegnare,insignare
insieme,insemel
interrare,interrare
inverdire,inviridire
inverno,invernum
involtare,involtare
involto,involtus
io,eo
ischio,esclus
isola,isula
laccio,laceum
ladroneccio,ladronicium
landa,landa
languire,languire
largire,largire
latte,lactem
lavatura,lavatura
laveggio,lapideum
le,illae
leccare,ligicare
legname,lignamen
lei,illei
lenticchia,lenticla
lercio,hirceus
levame,levamen
lezzo,olidiare
lievito,levitum
limaccia,limacea
lo,illu
lontano,longitanus
lontra,lutra
lonza,luncea
lottare,luctare
luglio,lulius
lui,illui
lumaca,limaca
lupa,lupa
lupo,lupus
lusignolo,lusciniolus
macchia,macla
macchiare,maclare
macigno,machineum
macinare,machinare
madrina,matrina
maneggiare,manidiare
manico,manicum
manovella,manibella
manovrare,manuopero
maschio,masclus
mazza,mattea
medaglia,medalia
medesimo,metipsimus
mela,mela
melo,melus
melograno,melum granatum
menare,minare
menno,minuus
mentire,mentire
mentitore,mentitor
menzogna,mentionia
mescolare,misculare
mestare,mixtare
mesticare,mixticare
meve,mibi
midollo,medullum
minaccia,minacia
minacciare,minaciare
minare,mina
minuzzaglia,minutialia
mischiare,misclare
moccio,mucceus
moccolo,mucculus
modiglione,mutilio
mogio,morrum
montare,monto
mora,mora
mordere,mordere
morire,morire
morto,mortus
mostaccio,mustaceum
mozzo,mutius
mucchio,muculus
mucciare,muciare
muggine,mugo
mungere,mungere
muovere,movere
muschio,musclus
musino,muxinus
narice,naricae
nascere,nascere
natica,natica
naviglio,navilium
nebbia,nebla
netto,nittus
nevicare,nivicare
nibbio,niblus
nicchiare,nidiculare
nino,ninnus
nocciola,nuceola
novanta,novaginta
novella,novella
noverare,nuberare
nuora,nora
nuotare,notare
o,aut
occhio,oclum
offrire,offerire
olezzare,olidiare
olivo,olivus
ondeggiare,undizare
oppio,oplus
orata,orata
ordigno,ordinium
ordire,ordire
orecchia,oricla
orezzare,auridiare
orgoglio,orgollium
oriolo,horariolum
orlare,orulare
orzare,ortiare
osare,ausare
ossame,ossamen
ouverture,opertura
padrino,patrinus
palanca,palanca
palomba,palumba
pannocchia,panucla
papavero,papaverum
paranco,palanca
parecchio,pariclus
parete,paretem
parlare,parolare
parola,paraula
particella,particella
pasqua,pascua
passare,passare
passero,passaru
pasticcio,pasticium
patire,patire
paventare,paventare
pecchia,apecla
peltro,peltrum
penero,pedinus
pennacchio,pinnaclum
pennello,penellus
penzolare,pendiolare
penzolo,pendiolus
pera,pira
perdonare,perdonare
perire,peresco
perseguire,persequire
pesare,pesare
pesca,pessica
pescare,piscare
pescato,piscatu
pesco,pessicus
peso,pesum
petecchia,peticla
pezza,pettia
pezzire,petire
piantumare,plantumo
piatto,plattus
piccolo,pittitus
pidocchioso,peduclosus
pigiare,pinsiare
pigione,pesionem
pigliare,piliare
piluccare,piluccare
pinto,pinctus
pioggia,ploia
pioppo,ploppus
piovere,plovo
pisciare,pissiare
pisello,pisellum
pittare,pictare
piuvico,plubicum
poi,pos
poltro,pulliter
ponzare,punctiare
poppa,puppa
porcareccia,porcaricia
potere,potere
predare,praedare
pregare,precare
presso,presso
prete,previter
promessa,promissa
prosciugare,proexsucare
prosciutto,perexsuctus
prudere,prudere
prugna,prunea
pugnale,pugnalis
punzecchiare,puncteculare
putire,putire
putrire,putrire
puzzo,putium
qua,eccum hac
quaderno,quaternus
quadrello,quadrellus
quaresima,quaresima
quegli,eccum illi
quella,eccum illa
quello,eccum ille
questa,eccu ista
questo,eccum iste
qui,eccum hic
